character_name,rarity,region,vision,arkhe,weapon_type,model,constellation,birthday,special_dish,affiliation,release_date,limited,voice_eng,voice_cn,voice_jp,voice_kr,ascension,ascension_specialty,ascension_material,ascension_boss,talent_material,talent_book_1-2,talent_book_2-3,talent_book_3-4,talent_book_4-5,talent_book_5-6,talent_book_6-7,talent_book_7-8,talent_book_8-9,talent_book_9-10,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,spsecial_0,special_1,special_2,special_3,special_4,special_5,special_6
Aether,5,NA,Anemo,N/A,Sword,Medium Male,Viator,Player's Choice,None,None,08/16/23,N/A,Zach Aguilar,Luyin (??),Horie Shun (???),Lee Kyung-tae (???),ATK,Windwheel Aster,Damaged Mask,None,Transoceanic Pearl,Teachings of Equity,Guide to Justice,Guide to Order,Guide to Equity,Guide to Justice,Philosophies of Order,Philosophies of Equity,Philosophies of Justice,Philosophies of Order,Worldspan Fern,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Aether,5,NA,Geo,N/A,Sword,Medium Male,Viator,Player's Choice,None,None,08/16/23,N/A,Zach Aguilar,Luyin (??),Horie Shun (???),Lee Kyung-tae (???),ATK,Windwheel Aster,Damaged Mask,None,Transoceanic Pearl,Teachings of Equity,Guide to Justice,Guide to Order,Guide to Equity,Guide to Justice,Philosophies of Order,Philosophies of Equity,Philosophies of Justice,Philosophies of Order,Worldspan Fern,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Aether,5,NA,Electro,N/A,Sword,Medium Male,Viator,Player's Choice,None,None,08/16/23,N/A,Zach Aguilar,Luyin (??),Horie Shun (???),Lee Kyung-tae (???),ATK,Windwheel Aster,Damaged Mask,None,Transoceanic Pearl,Teachings of Equity,Guide to Justice,Guide to Order,Guide to Equity,Guide to Justice,Philosophies of Order,Philosophies of Equity,Philosophies of Justice,Philosophies of Order,Worldspan Fern,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Aether,5,NA,Dendro,N/A,Sword,Medium Male,Viator,Player's Choice,None,None,08/16/23,N/A,Zach Aguilar,Luyin (??),Horie Shun (???),Lee Kyung-tae (???),ATK,Windwheel Aster,Damaged Mask,None,Transoceanic Pearl,Teachings of Equity,Guide to Justice,Guide to Order,Guide to Equity,Guide to Justice,Philosophies of Order,Philosophies of Equity,Philosophies of Justice,Philosophies of Order,Worldspan Fern,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Aether,5,NA,Hydro,Pneuma,Sword,Medium Male,Viator,Player's Choice,None,None,08/16/23,N/A,Zach Aguilar,Luyin (??),Horie Shun (???),Lee Kyung-tae (???),ATK,Windwheel Aster,Damaged Mask,None,Transoceanic Pearl,Teachings of Equity,Guide to Justice,Guide to Order,Guide to Equity,Guide to Justice,Philosophies of Order,Philosophies of Equity,Philosophies of Justice,Philosophies of Order,Worldspan Fern,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Albedo,5,Mondstadt,Geo,N/A,Sword,Medium Male,Princeps Cretaceus,13-Sep,Woodland Dream,Knights of Favonius,12/23/20,TRUE,Khoi Dao,Mace,Kenji Nojima (????),Kim Myung-jun (???),Geo DMG Bonus,Cecilia,Divining Scroll,Basalt Pillar,Divining Scroll,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Tusk of Monoceros Caeli,13226,251,876,12296,233,815,11669,222,773,10746,204,712,10119,192,670,9207,175,610,8579,163,568,7675,146,508,6839,130,453,5944,113,394,5317,101,352,3554,68,235,2671,51,177,1030,20,68,0.0%,0.0%,7.2%,14.4%,14.4%,21.6%,28.8%
Alhaitham,5,Sumeru,Dendro,N/A,Sword,Tall Male,Vultur Volans,11-Feb,Ideal Circumstance,Sumeru Akademiya,01/18/23,TRUE,Nazeeh Tarsha,Yang Chaoran (???),Umehara Yuuichirou (?? ???),Jun Seung Hwa (???),Dendro DMG Bonus,Sand Grease Pupa,Faded Red Satin,Pseudo-Stamens,Faded Red Satin,Teachings of Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Mirror of Mushin,13348,313,781,12409,291,726,11776,276,689,10845,254,635,10212,239,598,9291,218,544,8658,203,507,7746,181,453,6902,162,404,5999,140,351,5366,125,314,3586,84,210,2695,63,157,1039,24,60,0.0%,0.0%,7.2%,14.4%,14.4%,21.6%,28.8%
Aloy,5,NA,Cryo,N/A,Bow,Medium Female,Nora Fortis,4-Apr,Satiety Gel,Wandering Heroine,09/01/21,N/A,Giselle Fernandez,Mufei (??),Ayahi Takagaki (?? ??),Jo Hyeon-jeong (???),Cryo DMG Bonus,Crystal Marrow,Spectral Husk,Crystalline Bloom,Spectral Husk,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Molten Moment,10899,234,676,10133,217,629,9616,206,597,8856,190,550,8339,179,517,7587,163,471,7070,152,439,6325,136,393,5636,121,350,4899,105,304,4382,94,272,2928,63,182,2201,47,137,848,18,53,0.0%,0.0%,7.2%,14.4%,14.4%,21.6%,28.8%
Amber,4,Mondstadt,Pyro,N/A,Bow,Medium Female,Lepus,10-Aug,Outrider's Champion Steak!,Knights of Favonius,09/28/20,FALSE,Kelly Baskin,Shujin Cai (???),Manaka Iwami (?????),Kim Yeon-woo (???),ATK,Small Lamp Grass,Firm Arrowhead,Everflame Seed,Firm Arrowhead,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Dvalin's Sigh,9461,223,601,8806,208,559,8385,198,532,7730,182,491,7309,172,464,6654,157,422,6233,147,396,5578,131,354,5016,118,318,4361,103,277,3940,93,250,2630,62,167,2038,48,129,793,19,50,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Arataki Itto,5,Inazuma,Geo,N/A,Claymore,Tall Male,Taurus Iracundus,1-Jun,Way of the Strong,Arataki Gang,12/14/21,TRUE,Max Mittelman,Zhaokun Liu (???),Takanori Nishikawa (????),Song Joon-seok (???),CRIT Rate,Onikabuto,Slime Condensate,Riftborn Regalia,Slime Condensate,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Ashen Heart,12858,227,959,11954,211,892,11345,199,846,10448,185,779,9838,174,734,8951,158,668,8341,147,622,7462,132,557,6649,117,496,5779,102,431,5170,91,386,3455,61,258,2597,46,194,1001,18,75,0.0%,0.0%,4.8%,9.6%,9.6%,14.4%,19.2%
Baizhu,5,Liyue,Dendro,N/A,Catalyst,Tall Male,Lagenaria,25-Apr,Heat-Quelling Soup,Bubu Pharmacy,05/02/23,TRUE,"Sean Durrie, Xanthe Huynh","Qin Qiege (???), Wang Xiaotong (???)","Yusa Koji (?? ??), Shoji Yui (????)","Lee Hosan (???), Changsheng: Jang Mi (??)",HP,Violetgrass,Fungal Spores,Evergloom Ring,Fungal Spores,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Worldspan Fern,13348,192,499,12409,179,464,11776,169,440,10845,156,405,10212,147,382,9291,134,347,8658,124,324,7746,111,289,6902,99,258,5999,86,224,5366,77,200,3586,51,134,2695,38,100,1039,14,38,0.0%,0.0%,7.2%,14.4%,14.4%,21.6%,28.8%
Barbara,4,Mondstadt,Hydro,N/A,Catalyst,Medium Female,Crater,5-Jul,Spicy Stew,Church of Favonius,09/28/20,FALSE,Laura Stahl,Yuanyuan Song (???),Akari Kit? (????),Yun Ah-yeong (???),HP,Philanemo Mushroom,Divining Scroll,Cleansing Heart,Divining Scroll,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Ring of Boreas,9787,159,669,9110,148,623,8674,141,593,7996,130,546,7561,123,517,6884,112,470,6448,105,441,5770,94,394,5189,84,355,4512,73,308,4076,66,279,2721,44,186,2108,34,144,821,13,56,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Beidou,4,Liyue,Electro,N/A,Claymore,Tall Female,Victor Mare,14-Feb,Flash-Fried Filet,The Crux,09/28/20,FALSE,Allegra Clark,Yajing Tang (???),Ami Koshimizu (?????),Jeong Yoo-mi (???),Electro DMG Bonus,Noctilucous Jade,Treasure Hoarder Insignia,Lightning Prism,Treasure Hoarder Insignia,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Dvalin's Sigh,13050,225,648,12146,210,603,11565,200,575,10662,184,530,10081,174,501,9178,158,456,8597,148,427,7694,133,382,6919,119,344,6015,104,299,5435,94,270,3628,63,180,2811,48,140,1094,19,54,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Bennett,4,Mondstadt,Pyro,N/A,Sword,Medium Male,Rota Calamitas,1-Feb,Teyvat Charred Egg,Adventurers' Guild,09/28/20,FALSE,Cristina Vee Valenzuela,Xueting Mu (???),Ry?ta ?saka (????),Song Ha-rim (???),Energy Recharge,Windwheel Aster,Treasure Hoarder Insignia,Everflame Seed,Treasure Hoarder Insignia,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dvalin's Plume,12397,191,771,11539,178,718,10987,169,684,10129,156,630,9577,148,596,8719,134,542,8168,126,508,7309,113,455,6573,101,409,5715,88,356,5163,80,321,3447,53,214,2670,41,166,1039,16,65,0.0%,0.0%,6.7%,13.3%,13.3%,20.0%,26.7%
Candace,4,Sumeru,Hydro,N/A,Polearm,Tall Female,Sagitta Scutum,3-May,Utmost Care,Aaru Village,09/28/22,FALSE,Shara Kirby,Zhang Qi (??),Yuzuki Ryoka (?? ??),Jeon Yeongsu (???),HP,Redcrest,Faded Red Satin,Light Guiding Tetrahedron,Faded Red Satin,Teachings of Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Tears of the Calamitous God,10874,212,682,10121,197,635,9637,188,604,8884,173,557,8400,164,527,7648,149,480,7164,139,449,6411,125,402,5766,112,361,5012,97,314,4528,88,284,3023,59,189,2342,45,147,911,17,57,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Chongyun,4,Liyue,Cryo,N/A,Claymore,Medium Male,Nubis Caesor,7-Sep,Cold Noodles with Mountain Delicacies,Tianheng Thaumaturges,09/28/20,FALSE,Beau Bridgland,kinsen,Soma Saito (????),Yang Jeong-hwa (???),ATK,Cor Lapis,Damaged Mask,Hoarfrost Core,Damaged Mask,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Dvalin's Sigh,10984,223,648,10223,208,603,9734,198,575,8974,182,530,8485,172,501,7725,157,456,7236,147,427,6475,131,382,5824,118,344,5063,103,299,4574,93,270,3054,62,180,2366,48,140,1003,19,54,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Collei,4,Sumeru,Dendro,N/A,Bow,Medium Female,Leptailurus Cervarius,8-May,Yearning,Gandharva Ville,08/24/22,FALSE,Christina Costello,Qin Wenjing (???),Maekawa Ryoko (?? ??),Bang Siu (???),ATK,Rukkhashava Mushrooms,Firm Arrowhead,Majestic Hooked Beak,Firm Arrowhead,Teachings of Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Tears of the Calamitous God,9787,199,600,9109,185,559,8674,176,532,7996,163,490,7560,154,463,6883,140,422,6448,131,395,5770,117,354,5189,105,318,4511,92,276,4076,83,250,2721,55,166,2108,43,129,820,16,50,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Cyno,5,Sumeru,Electro,N/A,Polearm,Medium Male,Lupus Aureus,23-Jun,Duel Soul,Temple of Silence,09/28/22,TRUE,Alejandro Saab,Li Qingyang (???),Irino Miyu (?? ??),Lee Woo-ri (???),CRIT DMG,Scarab,Divining Scroll,Thunderclap Fruitcore,Divining Scroll,Teachings of Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Mudra of the Malefic General,12490,318,859,11612,295,798,11020,280,758,10149,258,698,9556,243,657,8695,221,598,8102,206,557,7249,184,498,6459,164,444,5614,142,386,5021,127,345,3356,85,230,2522,64,173,972,21,66,0.0%,0.0%,9.6%,19.2%,19.2%,28.8%,38.4%
Dehya,5,Sumeru,Pyro,N/A,Claymore,Tall Female,Mantichora,7-Apr,Goldflame Tajine,The Eremites,03/01/23,FALSE,Amber May,Chen Yu (??),Fukuhara Ayaka (????),Kim Hyeon-sim (???),HP,Sand Grease Pupa,Faded Red Satin,Light Guiding Tetrahedron,Faded Red Satin,Teachings of Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Puppet Strings,15674,265,627,14572,246,583,13829,234,553,12736,215,510,11992,203,480,10911,184,437,10168,172,407,9096,154,364,8105,137,324,7045,119,282,6301,106,252,4211,71,168,3165,53,126,1220,20,48,0.0%,0.0%,7.2%,14.4%,14.4%,21.6%,28.8%
Diluc,5,Mondstadt,Pyro,N/A,Claymore,Tall Male,Noctua,30-Apr,"""Once Upon a Time in Mondstadt""",Dawn Winery,09/28/20,FALSE,Sean Chiplock,Yang Ma (??),Kensho Ono (????),Choi Seung-hoon (???),CRIT Rate,Small Lamp Grass,Recruit's Insignia,Everflame Seed,Recruit's Insignia,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dvalin's Plume,12981,335,784,12068,311,729,11453,295,692,10547,272,637,9932,256,600,9036,233,546,8421,217,509,7533,194,455,6712,173,405,5834,151,352,5219,135,315,3488,90,211,2621,68,158,1011,26,61,0.0%,0.0%,4.8%,9.6%,9.6%,14.4%,19.2%
Diona,4,Mondstadt,Cryo,N/A,Bow,Short Female,Feles,18-Jan,Definitely Not Bar Food!,The Cat's Tail,11/11/20,FALSE,Dina Sherman,Nuoya (??),Shiori Izawa (????),Woo Jeong-sin (???),Cryo DMG Bonus,Calla Lily,Firm Arrowhead,Hoarfrost Core,Firm Arrowhead,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Shard of a Foul Legacy,9570,212,601,8907,198,559,8481,188,532,7818,174,491,7393,164,464,6731,149,422,6305,140,396,5642,125,354,5074,113,318,4411,98,277,3985,88,250,2661,59,167,2061,46,129,802,18,50,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Dori,4,Sumeru,Electro,N/A,Claymore,Short Female,Magicae Lucerna,21-Dec,Show Me the Mora,The Palace of Alcazarzaray,09/09/22,FALSE,Anjali Kunapaneni,Wang Xiaotong (???),Kaneda Tomoko (????),Lee Myeong-ho (???),HP,Kalpalata Lotus,Faded Red Satin,Thunderclap Fruitcore,Faded Red Satin,Teachings of Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Bloodjade Branch,12397,223,723,11538,207,673,10987,197,641,10128,182,591,9576,172,558,8719,156,508,8167,146,476,7308,131,426,6573,118,383,5714,102,333,5162,92,301,3446,62,201,2670,48,155,1039,18,60,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
